Key,English Value,Category,Tier
knowledge.treeNode.retryTitle,Retry vectorization,knowledge.treeNode,Tier 3
knowledge.treeNode.vectorizeTitle,Vectorize this document,knowledge.treeNode,Tier 3
knowledge.upload.accessAutobot,AutoBot,knowledge.upload,Tier 3
knowledge.upload.accessGeneral,General,knowledge.upload,Tier 3
knowledge.upload.accessHint,Controls which users and systems can access this knowledge,knowledge.upload,Tier 3
knowledge.upload.accessLevel,Access Level,knowledge.upload,Tier 3
knowledge.upload.accessSystem,System,knowledge.upload,Tier 3
knowledge.upload.accessUser,User,knowledge.upload,Tier 3
knowledge.upload.addToKnowledgeBase,Add to Knowledge Base,knowledge.upload,Tier 3
knowledge.upload.browse,browse,knowledge.upload,Tier 3
knowledge.upload.category,Category,knowledge.upload,Tier 2
knowledge.upload.categoryForAll,Category for all files,knowledge.upload,Tier 2
knowledge.upload.characters,{count} characters,knowledge.upload,Tier 3
knowledge.upload.clearAll,Clear All,knowledge.upload,Tier 3
knowledge.upload.clearAllTitle,Clear all files,knowledge.upload,Tier 3
knowledge.upload.contentLabel,Content,knowledge.upload,Tier 3
knowledge.upload.contentPlaceholder,Enter knowledge content here...,knowledge.upload,Tier 3
knowledge.upload.contentPreview,Content Preview,knowledge.upload,Tier 3
knowledge.upload.description,"Add new knowledge to the system by entering text, importing from URLs, or uploading files.",knowledge.upload,Tier 3
knowledge.upload.dragAndDrop,Drag & drop files here or,knowledge.upload,Tier 1
knowledge.upload.dropToAdd,Drop files to add,knowledge.upload,Tier 3
knowledge.upload.errorAddText,Failed to add text to knowledge base,knowledge.upload,Tier 3
knowledge.upload.errorFileTooLarge,"File ""{name}"" exceeds the maximum size limit",knowledge.upload,Tier 3
knowledge.upload.errorImportUrl,Failed to import URL content,knowledge.upload,Tier 3
knowledge.upload.errorUnsupportedFormat,"File ""{name}"" has an unsupported format",knowledge.upload,Tier 3
knowledge.upload.errorUploadFiles,Failed to upload files,knowledge.upload,Tier 3
knowledge.upload.importContent,Import Content,knowledge.upload,Tier 3
knowledge.upload.importFromUrl,Import from URL,knowledge.upload,Tier 3
knowledge.upload.invalidFileType,Invalid file type,knowledge.upload,Tier 3
knowledge.upload.orAutoDetected,(or auto-detected),knowledge.upload,Tier 3
knowledge.upload.previewContentTitle,Preview content,knowledge.upload,Tier 3
knowledge.upload.previewTruncated,Preview truncated to first 500 characters,knowledge.upload,Tier 3
knowledge.upload.removeFileTitle,Remove file,knowledge.upload,Tier 3
knowledge.upload.selectCategory,Select Category,knowledge.upload,Tier 3
knowledge.upload.successTextAdded,Text added to knowledge base successfully,knowledge.upload,Tier 3
knowledge.upload.successUrlImported,URL content imported successfully,knowledge.upload,Tier 3
knowledge.upload.supportedFormats,"Supported formats: PDF, TXT, MD, JSON, CSV, DOCX",knowledge.upload,Tier 3
knowledge.upload.tags,Tags,knowledge.upload,Tier 2
knowledge.upload.tagsForAll,Tags for all files,knowledge.upload,Tier 2
knowledge.upload.tagsPlaceholder,Enter tags separated by commas...,knowledge.upload,Tier 2
knowledge.upload.textEntry,Text Entry,knowledge.upload,Tier 3
knowledge.upload.titleLabel,Title,knowledge.upload,Tier 2
knowledge.upload.titlePlaceholder,Enter a descriptive title...,knowledge.upload,Tier 2
knowledge.upload.uploadFailed,Upload failed,knowledge.upload,Tier 3
knowledge.upload.uploadFiles,Upload Files,knowledge.upload,Tier 1
knowledge.upload.uploadedSuccessfully,Uploaded successfully,knowledge.upload,Tier 3
knowledge.upload.uploading,Uploading...,knowledge.upload,Tier 3
knowledge.upload.urlLabel,URL,knowledge.upload,Tier 3
knowledge.upload.useAutoDetected,Use Auto-Detected,knowledge.upload,Tier 3
knowledge.upload.visGroup,Group,knowledge.upload,Tier 3
knowledge.upload.visOrganization,Organization,knowledge.upload,Tier 3
knowledge.upload.visPrivate,Private,knowledge.upload,Tier 3
knowledge.upload.visShared,Shared,knowledge.upload,Tier 3
knowledge.upload.visSystem,System,knowledge.upload,Tier 3
knowledge.upload.visibility,Visibility,knowledge.upload,Tier 2
knowledge.upload.visibilityHint,Controls who can discover and view this knowledge,knowledge.upload,Tier 2
knowledge.vectorization.cancelButton,Cancel,knowledge.vectorization,Tier 3
knowledge.vectorization.completed,Completed,knowledge.vectorization,Tier 3
knowledge.vectorization.done,Done,knowledge.vectorization,Tier 3
knowledge.vectorization.failed,Failed,knowledge.vectorization,Tier 3
knowledge.vectorization.inProgress,In Progress,knowledge.vectorization,Tier 3
knowledge.vectorization.noDocuments,No documents to vectorize,knowledge.vectorization,Tier 3
knowledge.vectorization.progressTitle,Vectorization Progress,knowledge.vectorization,Tier 3
knowledge.vectorization.retryFailed,Retry Failed,knowledge.vectorization,Tier 3
knowledge.vectorization.statusFailed,Failed,knowledge.vectorization,Tier 3
knowledge.vectorization.statusPending,Pending,knowledge.vectorization,Tier 3
knowledge.vectorization.statusUnknown,Unknown,knowledge.vectorization,Tier 3
knowledge.vectorization.statusVectorized,Vectorized,knowledge.vectorization,Tier 3
knowledge.vectorization.tooltipFailed,Vectorization failed for this document,knowledge.vectorization,Tier 3
knowledge.vectorization.tooltipPending,Document is pending vectorization,knowledge.vectorization,Tier 3
knowledge.vectorization.tooltipUnknown,Vectorization status unknown,knowledge.vectorization,Tier 3
knowledge.vectorization.tooltipVectorized,Document has been vectorized and is searchable via RAG,knowledge.vectorization,Tier 3
knowledge.vectorization.total,Total,knowledge.vectorization,Tier 3
knowledge.verification.approve,Approve,knowledge.verification,Tier 3
knowledge.verification.approveSelected,Approve Selected,knowledge.verification,Tier 3
knowledge.verification.approvedToday,Approved Today,knowledge.verification,Tier 3
knowledge.verification.autonomous,Autonomous,knowledge.verification,Tier 3
knowledge.verification.clearSelection,Clear Selection,knowledge.verification,Tier 3
knowledge.verification.collaborative,Collaborative,knowledge.verification,Tier 3
knowledge.verification.emptyMessage,No items pending verification,knowledge.verification,Tier 3
knowledge.verification.emptyTitle,Queue Empty,knowledge.verification,Tier 3
knowledge.verification.loading,Loading verification queue...,knowledge.verification,Tier 3
knowledge.verification.modeLabel,Mode:,knowledge.verification,Tier 3
knowledge.verification.pending,Pending,knowledge.verification,Tier 3
knowledge.verification.qualityThreshold,Quality Threshold,knowledge.verification,Tier 3
knowledge.verification.reject,Reject,knowledge.verification,Tier 3
knowledge.verification.rejectSelected,Reject Selected,knowledge.verification,Tier 3
knowledge.verification.rejectedToday,Rejected Today,knowledge.verification,Tier 3
knowledge.verification.selectAll,Select All,knowledge.verification,Tier 3
knowledge.verification.title,Verification Queue,knowledge.verification,Tier 2
knowledge.verification.typeConnector,Connector,knowledge.verification,Tier 3
knowledge.verification.typeResearch,Web Research,knowledge.verification,Tier 3
knowledge.verification.typeUpload,Manual Upload,knowledge.verification,Tier 3
knowledge.verification.typeUrl,URL Fetch,knowledge.verification,Tier 3
knowledge.verification.untitled,Untitled,knowledge.verification,Tier 2
